昵称,时间,评论内容
雷霆374906,2020-11-25 16:07:00,虽然比美英晚了几十年，但中国古代有成语，叫后来居上，相信一定会的。        
闲云野鹤111子南,2020-11-25 16:02:00,西安人民发来贺电！！！👏👏👏👏👏👏        
天使也掉毛哎,2020-11-25 16:02:00,上九天揽月，下五洋捉鳖        
培根芝士厚吐司,2020-11-25 16:01:00,祖国万岁，祝愿祖国越来越强大        
熬夜的时候只想睡觉,2020-11-25 16:00:00,坚守梦想继续发光
江湖人称大鬼,2020-11-25 16:00:00,6        
L许你一世迷离,2020-11-25 15:56:00,冲呀        
情投意合s_男,2020-11-25 15:56:00,好        
柴火那个妞,2020-11-25 15:52:00,正能量君        
RyrLoveZmq520521,2020-11-25 15:51:00,祖国万岁        
呆呆鹅Z,2020-11-25 15:47:00,赞赞赞        
Yue可爱就4我啦,2020-11-25 15:46:00,越来越皮了，哈哈哈，出差愉快，挖土快乐！
七彩椰子,2020-11-25 15:45:00,加油        
得意的fish,2020-11-25 15:45:00,好棒        
新方绿墨,2020-11-25 15:44:00,这主持人不错，这语言精辟到位！        
海边女娃,2020-11-25 15:42:00,坚守梦想，每个人都了不起。        
菠萝米心心,2020-11-25 15:40:00,坚守最初的梦想，积蓄向上的力量        
BREW微博2695078195,2020-11-25 15:37:00,❤️        
随性de小草123,2020-11-25 15:37:00,祝贺祖国！        
不知道这个昵称可以不可以,2020-11-25 15:35:00,冲呀！
颖宝宝的颖宝儿,2020-11-25 15:34:00,带回“土”特产，让咱们开开眼界
花开一角,2020-11-25 15:33:00,6666        
助人为乐的无奈1,2020-11-25 15:32:00,是        
风漪微澜,2020-11-25 15:32:00,点赞        
舞以布丁,2020-11-25 15:31:00,👍        
平淡是真6513962712,2020-11-25 15:30:00,墨香铜臭        
悦悦姊姊,2020-11-25 15:28:00,哈哈哈主博是不是四川人，巴适得很！        
枪手与人为善,2020-11-25 15:28:00,好的        
驯鹿也曾来咖啡店钓鱼,2020-11-25 15:24:00,，        
洋帆起杭,2020-11-25 15:22:00,加油        
zs昱瑜,2020-11-25 15:21:00,好好好好好好好好好好好好好好好好        
我也是个狠人呐,2020-11-25 15:19:00,主播说联播，今天你来说        
小青春丿无限坑,2020-11-25 15:18:00,爱了        
Amada201808,2020-11-25 15:18:00,“胖五”冲～冲～冲        
好雨时节1989,2020-11-25 15:17:00,能否深度报道中国银行原油宝事件，为什么在无资质情况下银行推销高风险期货产品，出了问题又以原油宝事件是国家机密为由不敢公布调查报告，为什么突然下架？为什么买的时候不是国家机密。出问题了就是国家机密？法制社会，请求厘清责任！        
有我让你更幸福,2020-11-25 15:17:00,祝祖国航天圆满成功！        
一个小花痴Y,2020-11-25 15:16:00,中国🇨🇳 
叠起的滚滚,2020-11-25 15:15:00,现在飞到哪里了，应该到月球上空了吧
fengfeng的易小妞,2020-11-25 15:15:00,希望我也能成为一名科研工作者        
吴增建,2020-11-25 15:11:00,挖掘机技术哪家强？中国航天勇飞翔！        
坚果是个女孩呀,2020-11-25 15:06:00,中国越来越强大        
中国蓝888888,2020-11-25 15:04:00,好        
秋实安康,2020-11-25 15:01:00,上天揽月下海捉鳖🙏🙏🙏        
苛华要吃饭,2020-11-25 15:01:00,天天吹强大，没看出哪里强大了。还是美国好        
wsmiledong,2020-11-25 14:57:00,会不会把月球上的病毒带回来了？
鄙人带你探深圳,2020-11-25 14:53:00,！        
xuljun520,2020-11-25 14:53:00,加油💪        
文明开封学生资助管理中心,2020-11-25 14:53:00,快转微博        
一只等爱的老虎,2020-11-25 14:53:00,祝愿祖国越来越强大！        
星光灿烂猪八戒叻,2020-11-25 14:50:00,我骄傲，为祖国点赞！        
珂乖啦,2020-11-25 14:49:00,1        
可爱的孩子558,2020-11-25 14:47:00,一        
红色海洋的马甲,2020-11-25 14:46:00,！！        
夜已深63660,2020-11-25 14:46:00,祖国万岁  加油！        
心血来潮63207,2020-11-25 14:45:00,。。。。        
北条德川上杉织田丰臣,2020-11-25 14:44:00,希望中央能发扬这种探月精神，把科研落到实处而不是整天光会发论文        
北条德川上杉织田丰臣,2020-11-25 14:43:00,确实不容易        
冰冰_27753,2020-11-25 14:42:00,祖国强大        
蒙娜丽莎士比亚_,2020-11-25 14:42:00,//
NANCY_20978,2020-11-25 14:41:00,冲鸭        
鱼子酱小姐CC,2020-11-25 14:41:00,祖国万岁        
凡FX星,2020-11-25 14:40:00,祖国万岁，永远长青        
乌托邦公主M,2020-11-25 14:40:00,祝福祖国        
鱼面青,2020-11-25 14:40:00,。        
Davinl007,2020-11-25 14:39:00,祖国万岁，祝愿祖国越来越强大        
一生平安的小心情_012,2020-11-25 14:36:00,为祖国点赞！为航天人点赞！        
小国庆_曹世毅,2020-11-25 14:34:00,转发微博        
WN相识是一种缘份,2020-11-25 14:30:00,早安        
9605危貨,2020-11-25 14:25:00,！        
谊南南南,2020-11-25 14:24:00,祝福祖国越来越强大        
护法liang,2020-11-25 14:22:00,好样的        
clidGZ9,2020-11-25 14:22:00,"违法人蒋明辉 1990年3月8日出生, 毕业于辽宁职业美术学院动漫专业2009届,中国男漫画家蒋明辉一本200元非法出版色情暴力漫画《帝国社会​》，其中包含凌虐肢解女性，改造性侵幼女，侮辱慰安妇等丧心病狂的法西斯纳粹行为，令人发指 "
dengyuhua111980_519_271,2020-11-25 14:22:00,加油祖国        
爱吃宵夜的皮卡丘,2020-11-25 14:21:00,我突然想知道带回来土特产会不会变颜色或者有辐射🙈🙈🙈        
陈永炳吖,2020-11-25 14:19:00,加油        
浪LONG车模-Q小圈,2020-11-25 14:19:00,帅
深情不拥l,2020-11-25 14:14:00,不是胖五嘛，哈哈哈，胖五姐姐
想昵称未免太难了点吧,2020-11-25 14:12:00,真不错        
人见人爱的舒辣猫,2020-11-25 14:08:00,好厉害，自豪！        
一夏75807,2020-11-25 14:06:00,见证了        
淄博检察,2020-11-25 14:05:00,信息发布微平台        
锁骨在哪里,2020-11-25 14:03:00,加油        
山不见远,2020-11-25 14:00:00,。        
QKgrenade,2020-11-25 14:00:00,👍        
瑜洲的床单呢,2020-11-25 13:57:00,祖国万岁！        
粥不滑,2020-11-25 13:56:00,厉害我的国        
开封市实验幼儿园,2020-11-25 13:55:00,转发微博        
抓紧时间,2020-11-25 13:55:00,加油(ง •̀_•́)ง        
小米mini小米,2020-11-25 13:54:00,6        
血色星火,2020-11-25 13:52:00,牛🐮        
来碗勇闯天涯,2020-11-25 13:52:00,双眼皮是割的吗
安-进ing,2020-11-25 13:51:00,🐮        
最爱红豆奶茶,2020-11-25 13:50:00,伟大的祖国繁荣昌盛        
zhang00姐,2020-11-25 13:47:00,伟大的祖国加油
jin--love,2020-11-25 13:47:00,🤗        
男神瓜迪奥拉,2020-11-25 13:47:00,一步一个脚印，走出中国航天🇨🇳之路 巴适的很 哈哈哈        
豚骨拉面1995,2020-11-25 13:47:00,我想知道轰20什么时候下海
狗头保平安i,2020-11-25 13:45:00,央视
Wembleyboy撑江苏队,2020-11-25 13:45:00,这些科研工作者的待遇如何？不能让英雄留汗又留泪！        
雨巷流行的雨,2020-11-25 13:45:00,你说话能不能头别傲娇的晃？搞得我也傲娇的晃起来了
晨雨潇潇-笑看人生,2020-11-25 13:41:00,科研工作者才是值得赞叹的，这是推动社会发展的一群人！就是新的新闻联播主持人，看着怪怪的。        
叽叽咕咕2的天空,2020-11-25 13:41:00,加油        
金鱼201003,2020-11-25 13:40:00,加油        
努力小学妹Cecilia,2020-11-25 13:39:00,祝愿祖国越发强大！[我爱中国]        
星系孤客,2020-11-25 13:39:00,中国富强        
苏坡亭,2020-11-25 13:38:00,这个主播表情忒丰富
若涵啊_,2020-11-25 13:35:00,祖国万岁        
Lucky的小小宇宙,2020-11-25 13:34:00,厉害        
海盗阿万,2020-11-25 13:34:00,，        
mqcdch,2020-11-25 13:34:00,探月        
网瘾少女QuQ,2020-11-25 13:33:00,。        
闲墨词,2020-11-25 13:33:00,九天揽月        
左马介的小跟班,2020-11-25 13:32:00,下五洋捉鳖，🔪 🐢        
爱吃菜ya,2020-11-25 13:32:00,祖国威武        
西语紫,2020-11-25 13:30:00,表情我超喜欢        
城南旧事1984,2020-11-25 13:28:00,祖国万岁，好棒呀！        
江北检察,2020-11-25 13:27:00,信息发布微平台        
微凉的记忆50072,2020-11-25 13:25:00,则👍        
霸气刘二姐,2020-11-25 13:24:00,离不开党的领导和指引才是真正的重要        
微光晨曦吖,2020-11-25 13:22:00,祖国万岁，祖国越来越强大        
一个夏小天,2020-11-25 13:20:00,有点母仪天下呢        
瓜子2019,2020-11-25 13:17:00,向上        
墨青LCL,2020-11-25 13:17:00,中国超棒！        
北北家的小雪雪,2020-11-25 13:16:00,祖国万岁        
hanananal,2020-11-25 13:15:00,加油        
小新cd2002,2020-11-25 13:15:00,万里长征第一步        
匆匆的冬天,2020-11-25 13:13:00,祖国万岁        
道可法也,2020-11-25 13:13:00,讲的太好了！说出了中国人的心声！祝愿我们的祖国越来越好，越来越强大！        
夏丿丿丿小虫单,2020-11-25 13:12:00,国家越来越强大了
褪色了的白,2020-11-25 13:11:00,加油！祖国！        
傅瑶-17,2020-11-25 13:10:00,祖国万岁，祝愿祖国越来越强大        
小小少言,2020-11-25 13:10:00,👌        
辰醉1,2020-11-25 13:06:00,哈哈        
Baymax胖哒,2020-11-25 13:06:00,骄傲        
熬夜懒屁虫唐一宝,2020-11-25 13:04:00,牛🐮        
惜云自已,2020-11-25 13:04:00,诗句是读错了还是有意为之，主播是不是要被扣钱了        
心向之乄梦相随,2020-11-25 13:04:00,厉害        
H2O13386,2020-11-25 13:04:00,人人贷欺诈百姓血汗钱，恳请央视新闻能为民说话维护社会公平正义        
淮南一路飞扬,2020-11-25 13:02:00,中国🇨🇳加油！        
是顾栀虞啊,2020-11-25 13:02:00,好        
贺兰剑,2020-11-25 13:01:00,的确值得骄傲！厉害了我的国。中国若再能攻克癌症，更是对人类的又一大贡献！        
宝贝可心儿笑笑,2020-11-25 12:59:00,祖国越来越强大了！
ikun小葵崽崽,2020-11-25 12:59:00,胖五，冲鸭！        
娱乐李大叔,2020-11-25 12:57:00,啊        
娱乐李大叔,2020-11-25 12:57:00,亲        
Air-MayE,2020-11-25 12:57:00,给力        
月球,2020-11-25 12:57:00,转发微博        
股海戏潮168,2020-11-25 12:56:00,666666        
1皮皮宇,2020-11-25 12:56:00,祖国万岁！！越来越强        
晚雾绕月心,2020-11-25 12:55:00,点赞        
数据早知道,2020-11-25 12:53:00,把一件事重复做 持续地坚持和积累 时间会给出答案        
熊猫丶翻天大白,2020-11-25 12:53:00,别人干啥你干啥你就永远干不出来一啥！
南笙梦九情情,2020-11-25 12:52:00,祖国加油        
剑客199003,2020-11-25 12:51:00,国之发展        
人才有价,2020-11-25 12:51:00,坚实的每一步，有价人，加油！
春天的铃声198011,2020-11-25 12:51:00,祖国万岁！        
Sunny_浅雪,2020-11-25 12:50:00,厉害        
吧啦吧啦啊哈54321,2020-11-25 12:50:00,。        
邓萍01187,2020-11-25 12:50:00,窝        
涂鶕,2020-11-25 12:50:00,上九天揽月，下五洋捉鳖        
阿知知了,2020-11-25 12:49:00,我就想问问蛋壳公寓的事情央视能不能多曝光一下，毕竟我们随时都可能露宿街头        
终笙不忘,2020-11-25 12:48:00,胖五加油!(^O^)y带回的土特产记得和我们分享噢～        
难得的是长久的坚持,2020-11-25 12:48:00,中国航天加油，向航天人致敬。祖国万岁！        
小雅雅916,2020-11-25 12:48:00,万岁        
小雅雅916,2020-11-25 12:48:00,，        
闲闲可乐,2020-11-25 12:47:00,期待土特产        
吃可爱长大的小丸子,2020-11-25 12:45:00,冲鸭        
西关欧尼,2020-11-25 12:45:00,加油加油冲冲冲        
巧妹之海阔天空,2020-11-25 12:45:00,冲        
玉面智者,2020-11-25 12:44:00,点赞        
克莱尔果冻,2020-11-25 12:43:00,为中国航天点赞👍        
白彦云,2020-11-25 12:43:00,捏住美国的脖子        
芬芳馥郁的青春年华,2020-11-25 12:43:00,致敬科学家        
跟着快乐出发123,2020-11-25 12:43:00,中国必胜        
Lcy雁南飞,2020-11-25 12:43:00,祖国万岁        
阿森yee,2020-11-25 12:41:00,冲冲冲        
遇到的都是美好,2020-11-25 12:41:00,棒        
又一心宽体不胖,2020-11-25 12:40:00,大国重器        
我不是例外2,2020-11-25 12:39:00,👍        
每天吃糖的猴子,2020-11-25 12:39:00,伟大        
小雨欣儿yu,2020-11-25 12:39:00,上可五天揽月，下可九洋捉鳖
Sync_UL,2020-11-25 12:39:00,胖五威武！        
2391张扬,2020-11-25 12:38:00,6666        
秀雅居士1878,2020-11-25 12:37:00,为祖国骄傲与自豪，加油加油💪
儒雅的一鹿相伴,2020-11-25 12:37:00,胖五真棒
乔乔吖-Jo,2020-11-25 12:36:00,为中国探月工程点赞
枫者羽一,2020-11-25 12:36:00,转发微博
可爱深红爱浅红2020,2020-11-25 12:35:00,嫦五是一飞冲天的打工人        
三稽帝国,2020-11-25 12:34:00,好        
墨染-笙歌,2020-11-25 12:33:00,好好好        
墨染-笙歌,2020-11-25 12:33:00,好        
莎莎莎梦,2020-11-25 12:33:00,祖国真棒👏🏻        
杨若溪Iin,2020-11-25 12:33:00,骄傲        
穿鞋没灵魂,2020-11-25 12:32:00,上九天揽月        
猪猪猪猪猪6888,2020-11-25 12:32:00,实力        
我心绪c,2020-11-25 12:32:00,y        
陌上_花生薯片,2020-11-25 12:32:00,转发微博        
黑杨树林,2020-11-25 12:31:00,上天揽月，下海捉鳖        
茶香商行,2020-11-25 12:29:00,他们都是功臣        
韩菲823,2020-11-25 12:29:00,点赞        
LIANGX_,2020-11-25 12:29:00,哇        
小舰艇Warship,2020-11-25 12:27:00,祖国取得成绩真不容易，科研队伍里那么多类似天津大学学术造价教授在捣乱，还能真真正正取得这样的成绩，太不容易了        
特斯拉式偏头痛,2020-11-25 12:26:00,提高科技工作者的待遇 比这些赞美更实在        
笑叹词乏,2020-11-25 12:25:00,太棒了！我的国        
_啊呀齁咸,2020-11-25 12:25:00,👍        
__长安归故里__,2020-11-25 12:25:00,祖国万岁！        
zyf5960,2020-11-25 12:23:00,好        
路语嘉人,2020-11-25 12:21:00,加油，冲鸭
墨染栀,2020-11-25 12:21:00,加油        
沈涛涛ST,2020-11-25 12:21:00,说说股市和长租公寓呗        
爱可抵,2020-11-25 12:20:00,期待带回来的        
一段很长很长的旅行,2020-11-25 12:19:00,越来越好        
biubiubiuD94,2020-11-25 12:18:00,冲        
商友圈刘月平,2020-11-25 12:17:00,不知道这个土特产，会是怎样的，好期待        
围观,2020-11-25 12:17:00,厉害了，我的国        
晴朗天空_56124,2020-11-25 12:15:00,帅气        
双眼皮的梨涡姑娘,2020-11-25 12:15:00,这主持人动作笑死我了。        
Yuliaoku,2020-11-25 12:15:00,nasa        
花emjoy月,2020-11-25 12:15:00,祖国强👍        
Pro丁先生,2020-11-25 12:13:00,哈哈        
延续微凉,2020-11-25 12:12:00,祖国，加油！        
Muse-Jam,2020-11-25 12:12:00,上可九天揽月，下可五洋捉鳖，星辰大海，中国🇨🇳来啦，冲鸭
青春期的毛巾哥哥,2020-11-25 12:11:00,努力        
青春期的毛巾哥哥,2020-11-25 12:11:00,冲        
云上雲端3266,2020-11-25 12:10:00,向航天科工者致敬！        
武汉江城苏剑,2020-11-25 12:10:00,为中国航天人点赞！
Ss云梯,2020-11-25 12:09:00,为中国加油(ง •̀_•́)ง        
54苹果女王,2020-11-25 12:09:00,潘涛说的真好，祝祖国越来越好
Ss云梯,2020-11-25 12:09:00,棒棒        
ni的小赞宝,2020-11-25 12:08:00,为中国航天人点赞👍，㊗️愿祖国越来越强大！        
爽朗的hyp55667,2020-11-25 12:07:00,祖国万岁，祝愿祖国越来越强大
穿越小王子,2020-11-25 12:07:00,……        
孟想家-wh,2020-11-25 12:07:00,为中国探月工程自豪        
侯会来2018,2020-11-25 12:05:00,科技强国        
我是一只小土豆,2020-11-25 12:05:00,努力加油        
马婷ty,2020-11-25 12:04:00,厉害👍        
亦如行人ivy,2020-11-25 12:03:00,哈哈胖五嫦娥小姐姐        
新新凯撒,2020-11-25 12:03:00,加油  冲鸭        
宇宙的日月,2020-11-25 12:02:00,我愛祖國        
富川一枝发,2020-11-25 12:02:00,哇 潘涛好激昂啊 有央视那味儿了        
费兔纸,2020-11-25 12:01:00,非常嗨
Kim家的店,2020-11-25 12:01:00,祖国万岁        
慕唯forever,2020-11-25 12:00:00,蛋壳事件麻烦关注一下
多多云98,2020-11-25 11:58:00,厉害了
Continue微笑,2020-11-25 11:58:00,挖槽 看到这个主持人感觉自己恋爱了        
66号公路_IU,2020-11-25 11:58:00,越来越强大
DengLLLL111111,2020-11-25 11:58:00,转发微博        
月中-秋风,2020-11-25 11:57:00,祝福祖国。        
早晨的虹2012,2020-11-25 11:57:00,点赞！        
囧菌色的落叶,2020-11-25 11:57:00,来了QAQ        
囧菌色的落叶,2020-11-25 11:57:00,来了        
游戏轮回0,2020-11-25 11:56:00,我们的征途是星辰大海！        
要吃饱睡好呀,2020-11-25 11:55:00,真不错！
邹美国,2020-11-25 11:55:00,和谐社会真的不错，人人的生活水平提高了，但是发生在北京朝阳的金融诈骗：典型的有积木盒子董骏骗了大家的血汗钱，到今天也没有什么说法，给和谐社会添堵了，也给和谐社会埋下了不良的隐患。        
selmen温忆兒,2020-11-25 11:55:00,有这些钱搞科研，还不如给我还款！！我穷的一塌糊涂，没人管！        
康贝combi,2020-11-25 11:55:00,胖五冲鸭！！！希望祖国越来越好！！！
羿雯Pandora,2020-11-25 11:54:00,祖国强盛！大家都扬眉吐气
噢巴马77,2020-11-25 11:53:00,好        
重回two,2020-11-25 11:53:00,加油，我的国        
行者致远7,2020-11-25 11:52:00,厉害了        
HeSiYe再见,2020-11-25 11:50:00,图片评论 
獨郞999,2020-11-25 11:50:00,666        
k宝儿20,2020-11-25 11:49:00,祖国万岁        
和贝拉一起长大的麻麻,2020-11-25 11:47:00,帅气！        
岸上的泥鳅521184,2020-11-25 11:46:00,6666        
本来就秃的小米粒吖,2020-11-25 11:46:00,👍🏻        
梦逍遥333,2020-11-25 11:45:00,国威        
猪宝宝牧牧,2020-11-25 11:44:00,牛        
抬头望天空2018,2020-11-25 11:44:00,胖五出征，胜利凯旋！！        
ta蓦然扭头,2020-11-25 11:43:00,好        
一支水果味的棒棒糖,2020-11-25 11:42:00,万岁≧▽≦        
雁南飞201806,2020-11-25 11:41:00,现在主持人也都这么“拼”了吗，还巴适得很，还小姐姐，还成语接龙……        
燕子-飞过无声,2020-11-25 11:40:00,你若盛开清风自来        
小易同学明凤,2020-11-25 11:39:00,巴适得很！！！        
初雪未丶霁76343,2020-11-25 11:39:00,转发微博        
霖霖的星星眼,2020-11-25 11:38:00,好棒        
养个茄子宝,2020-11-25 11:37:00,[我爱中国]        
一粒苦,2020-11-25 11:35:00,上九天揽月，下五洋捉鳖
打兔子跨栏,2020-11-25 11:35:00,加油😊        
苍凉正义,2020-11-25 11:35:00,现在教育部不喜欢数理化，不喜欢科研人员了，体育强者才是真的强        
琳和ling,2020-11-25 11:34:00,祖国万岁        
公元前四零零四,2020-11-25 11:34:00,强大        
宋唯玉Roy,2020-11-25 11:30:00,嗯        
宋唯玉Roy,2020-11-25 11:30:00,人        
_患拖延症晚期的一枚懒货,2020-11-25 11:29:00,额        
郭先生luck,2020-11-25 11:28:00,我骄傲我是中国人💪💪💪        
囚禁在烛火下的乌托邦,2020-11-25 11:28:00,棒        
我不胖只是肉嘟嘟,2020-11-25 11:28:00,。        
洗洗睡吧早点,2020-11-25 11:28:00,赞        
KYG_蒲公英,2020-11-25 11:27:00,冲冲冲        
木有萌妹子,2020-11-25 11:27:00,冲冲冲        
80年的酸奶,2020-11-25 11:27:00,大国点名，没你不行        
浓情松柏,2020-11-25 11:25:00,自豪！        
六六姨姥姥199103,2020-11-25 11:25:00,祝我们的祖国更强盛。        
陈皮炖柠檬,2020-11-25 11:24:00,大国应该就要向科学探索方向发展        
枣庄润程装饰,2020-11-25 11:23:00,强大的中国        
金针菇要加油,2020-11-25 11:23:00,为科研工作者点赞！也为祖国的航天事业的进步点赞！        
g美丽的风景,2020-11-25 11:22:00,网信理财诈骗为什么不立案调查？        
Denny1301,2020-11-25 11:22:00,赞        
茅屋篷窗梅花帐,2020-11-25 11:20:00,求国家关注蛋壳公寓事件        
濠情熠,2020-11-25 11:19:00,利好茅台        
微而不薄199408,2020-11-25 11:18:00,祖国万岁        
心尚仁儿,2020-11-25 11:18:00,声音好好听，厉害了我的国。        
倔强的xiaoshen,2020-11-25 11:18:00,午安        
来份提拉米苏多放麻酱多放辣,2020-11-25 11:17:00,胖五是不是也不收现金啊，哈哈哈哈        
祥符疾控,2020-11-25 11:16:00,大国重器上天入海 离不开科研工作者的坚持与探索！        
捡到一只萌萌的小仙女,2020-11-25 11:16:00,嫦娥奔月～        
娜娜米蹴,2020-11-25 11:15:00,苏尼特熊猫羊 纯天然绿色有机熊猫羊 天然草原牧养。肉质鲜嫩肥美。34/斤（含运费） 订购☎️：150 3479 0209  187 4790 0122        
love歌谣666,2020-11-25 11:15:00,赞个
6077708237水滴,2020-11-25 11:15:00,加油        
奔跑的酒娘,2020-11-25 11:14:00,探月工程，着看星辰大海，辛苦了，航天科研人        
T-MAC爆扣,2020-11-25 11:14:00,下一步是不是要派人登月了呀！真的很期待！        
你12585,2020-11-25 11:13:00,哈哈        
简单的盒子里,2020-11-25 11:13:00,666        
小鱼儿儿儿儿儿ya,2020-11-25 11:13:00,恭喜，祝中国航天越来越好！冲鸭！！！        
joney__chen,2020-11-25 11:13:00,这个主持人有点太戏剧化了吧？        
睿熙的妈妈,2020-11-25 11:12:00,在        
赵满相201007,2020-11-25 11:10:00,强大才牛掰        
傲少年021125,2020-11-25 11:09:00,可以        
学霸勇敢者,2020-11-25 11:09:00,嫦娥五，嫦娥五啊        
爱游戏的马里奥,2020-11-25 11:09:00,嗯        
精诚好男人,2020-11-25 11:09:00,祖国万岁        
文華山莊,2020-11-25 11:08:00,1828条评论一口气都看完了，其实看一条就行了。        
易佳杨shi杨佳义呀,2020-11-25 11:08:00,时政热点…        
独孤秋敏,2020-11-25 11:07:00,祖国繁荣昌盛        
GPiwen,2020-11-25 11:06:00,，        
黑玉石jet,2020-11-25 11:05:00,上天入地，无所不能！下一步就是火星了
谁伴我闯荡1011,2020-11-25 11:05:00,转发微博        
我就是W先森,2020-11-25 11:05:00,厉害了我的国        
晨艺的啊哈哈哈,2020-11-25 11:05:00,巴适得很        
左翔右逸,2020-11-25 11:05:00,都要        
NFSpeedACE,2020-11-25 11:04:00,巴适得板        
小吴家的小祖宗,2020-11-25 11:04:00,坚守最初的梦想蓄积向上的力量        
etzzy,2020-11-25 11:03:00,看了才知道原来这么复杂，太nb了        
刚哥min,2020-11-25 11:03:00,这个人的头干嘛一直动个没完。        
江西Mr小熊,2020-11-25 11:02:00,心中有光，追逐自己的星辰大海        
凡尘漠儿ZM,2020-11-25 11:01:00,🙏
青青河边草的梦语,2020-11-25 11:01:00,厉害了        
阳光去过那片海,2020-11-25 10:59:00,👏        
流浪的风wq,2020-11-25 10:58:00,😃        
绿水小子,2020-11-25 10:57:00,👍👍👍        
冷冷永远有心事,2020-11-25 10:56:00,中国加油        
想当欢乐黑巫女的Echo,2020-11-25 10:55:00,用月球的土种桂花树，树上会长兔子么，能引来吴刚么
cxxldh,2020-11-25 10:54:00,帅气        
风儿知道你,2020-11-25 10:54:00,骄傲。        
水果星球资源站,2020-11-25 10:53:00,我们的征途是浩瀚太空里的星辰大海，向中国航天人致敬
还能孩子气多久nie,2020-11-25 10:53:00,冲啊
木溪01,2020-11-25 10:53:00,不错        
想吃天鹅肉的无尾目两栖动物,2020-11-25 10:53:00,几个亿片酬的能不能上太空旅行        
择高而立2019,2020-11-25 10:52:00,把没地住的蛋壳人带到月球吧        
正店长,2020-11-25 10:52:00,九天揽月加五洋捉鳖        
灵灵稀饭豆子,2020-11-25 10:51:00,厉害了！！！        
薇芙恩,2020-11-25 10:49:00,祖国万岁，祝愿祖国越来越强大        
jongsuk雨哟,2020-11-25 10:48:00,冲呀        
手握阳光Shining,2020-11-25 10:48:00,上可九天揽月，下可五洋捉鳖，如今这份豪情正一点点变为现实        
月牙弯弯的小媳妇,2020-11-25 10:47:00,中国太强大了，中国加油！        
Gaea灵灵,2020-11-25 10:47:00,早安        
蓝蓝的天空青青草WJ,2020-11-25 10:46:00,转发微博        
传奇永恒99,2020-11-25 10:45:00,中国创造！中国制造！        
迷途小青鸟,2020-11-25 10:45:00,胖五，奥利给！        
急速到来_809,2020-11-25 10:44:00,祝贺        
zlshm,2020-11-25 10:43:00,1        
kaneliact,2020-11-25 10:42:00,祝贺嫦娥五号发射成功，上九天可揽月，下五洋可捉鳖，中国加油！        
老妖不是妖,2020-11-25 10:42:00,这文案吧……一言难尽        
倾心mmID,2020-11-25 10:41:00,带只兔子🐰 🐰🐰🐰呀        
凤之岗,2020-11-25 10:40:00,国之光，与有荣焉。        
悠闲0926,2020-11-25 10:40:00,祖国万岁        
民权县政府办,2020-11-25 10:39:00,转发微博        
青天问明月,2020-11-25 10:39:00,祖国强大，骄傲。        
星空中星河,2020-11-25 10:39:00,！        
DanielwChen,2020-11-25 10:38:00,一个人是如何被训练成这样了的        
小叮当-love,2020-11-25 10:37:00,祖国万岁！祝愿祖国越来越强大，感谢伟大的科研工作者❤️，你们辛苦了！        
悛佑不良人,2020-11-25 10:37:00,可上九天揽月，可下五洋捉鳖        
孰忘孰羡,2020-11-25 10:36:00,胖五！冲啊！！！
淇鹅小宝贝,2020-11-25 10:36:00,中国加油        
影零乱_,2020-11-25 10:36:00,也离不开被剥削的科研打工狗
云朵上的鲸鱼Q,2020-11-25 10:35:00,祖国万岁！！        
流浪的心_65904,2020-11-25 10:35:00,为祖国点赞！        
市场婵圣,2020-11-25 10:34:00,。        
以禅论道,2020-11-25 10:33:00,很好        
牧马人2号1006233192_626,2020-11-25 10:33:00,牛A，牛C        
蛋丸子1,2020-11-25 10:32:00,是否一切都安好        
s睡不着,2020-11-25 10:31:00,m        
小东飞xx,2020-11-25 10:30:00,加油        
咕噜噜大长腿,2020-11-25 10:30:00,。        
伯牙在寻找子期,2020-11-25 10:30:00,沙发        
倾鑫521,2020-11-25 10:30:00,厉害了        
今心红尘,2020-11-25 10:30:00,这个主持好假呀，一种做作的违和感        
木冲_yunshan,2020-11-25 10:28:00,我们买了南昌万科的房子，新房入住两年，两个月反水五次次。万科不作为
Fone瑶,2020-11-25 10:28:00,说话的时候能不能不要乱动身体，之前新闻联播主持人可不这样。        
小妹姐呐,2020-11-25 10:26:00,冲啊        
君陌如尘,2020-11-25 10:26:00,大国重器，中国荣耀        
酋淮榛,2020-11-25 10:24:00,共同        
山西的娃娃,2020-11-25 10:24:00,祖国繁荣昌盛        
娥59975,2020-11-25 10:24:00,为中国航天点赞👍        
小蕙重出江湖,2020-11-25 10:23:00,土特产 哈哈哈        
恋了散了凉了,2020-11-25 10:23:00,我的国        
湉兮-兮,2020-11-25 10:23:00,祖国万岁，胖五冲啊！为航天人点赞！        
航空大玩家,2020-11-25 10:23:00,转发微博        
冬天的云001,2020-11-25 10:23:00,点赞中国        
奔奔的热心,2020-11-25 10:22:00,从效率考虑，应该带上月球的土上去，放到月球上，再带月球的土下来，不空驶嘛！        
此心安处有柏畅,2020-11-25 10:22:00,还挺幽默，“巴适得很”，嫦娥五号小姐姐“打工”
没老的老头子,2020-11-25 10:22:00,仔细想想，那些辛勤劳作的人更应得到尊重！        
不信联播信微博,2020-11-25 10:21:00,牛        
此心安处有柏畅,2020-11-25 10:21:00,把一件事情做重复的积累，时间会给出答案
朋友请向前,2020-11-25 10:21:00,转发微博        
